date,market,crop,price_per_kg
2023-01-01,lagos,maize,272.61
2023-01-02,lagos,maize,269.46
2023-01-03,lagos,maize,249.0
2023-01-04,lagos,maize,262.24
2023-01-05,lagos,maize,291.2
2023-01-06,lagos,maize,287.71
2023-01-07,lagos,maize,288.7
2023-01-08,lagos,maize,280.74
2023-01-09,lagos,maize,289.41
2023-01-10,lagos,maize,283.15
2023-01-11,lagos,maize,277.09
2023-01-12,lagos,maize,299.6
2023-01-13,lagos,maize,277.12
2023-01-14,lagos,maize,269.17
2023-01-15,lagos,maize,302.32
2023-01-16,lagos,maize,303.31
2023-01-17,lagos,maize,257.91
2023-01-18,lagos,maize,294.83
2023-01-19,lagos,maize,251.48
2023-01-20,lagos,maize,303.19
2023-01-21,lagos,maize,270.97
2023-01-22,lagos,maize,299.78
2023-01-23,lagos,maize,277.47
2023-01-24,lagos,maize,293.64
2023-01-25,lagos,maize,266.17
2023-01-26,lagos,maize,284.83
2023-01-27,lagos,maize,289.08
2023-01-28,lagos,maize,306.45
2023-01-29,lagos,maize,320.73
2023-01-30,lagos,maize,301.44
2023-01-31,lagos,maize,297.42
2023-02-01,lagos,maize,276.29
2023-02-02,lagos,maize,270.49
2023-02-03,lagos,maize,297.48
2023-02-04,lagos,maize,297.19
2023-02-05,lagos,maize,305.53
2023-02-06,lagos,maize,307.72
2023-02-07,lagos,maize,302.67
2023-02-08,lagos,maize,273.28
2023-02-09,lagos,maize,312.57
2023-02-10,lagos,maize,296.78
2023-02-11,lagos,maize,283.42
2023-02-12,lagos,maize,292.86
2023-02-13,lagos,maize,277.3
2023-02-14,lagos,maize,295.16
2023-02-15,lagos,maize,313.68
2023-02-16,lagos,maize,296.55
2023-02-17,lagos,maize,288.35
2023-02-18,lagos,maize,298.8
2023-02-19,lagos,maize,311.14
2023-02-20,lagos,maize,282.0
2023-02-21,lagos,maize,287.95
2023-02-22,lagos,maize,307.28
2023-02-23,lagos,maize,285.24
2023-02-24,lagos,maize,338.15
2023-02-25,lagos,maize,304.26
2023-02-26,lagos,maize,292.41
2023-02-27,lagos,maize,294.39
2023-02-28,lagos,maize,300.38
2023-03-01,lagos,maize,299.46
2023-03-02,lagos,maize,275.0
2023-03-03,lagos,maize,330.52
2023-03-04,lagos,maize,310.02
2023-03-05,lagos,maize,310.31
2023-03-06,lagos,maize,324.65
2023-03-07,lagos,maize,294.41
2023-03-08,lagos,maize,299.73
2023-03-09,lagos,maize,320.13
2023-03-10,lagos,maize,312.02
2023-03-11,lagos,maize,319.18
2023-03-12,lagos,maize,312.66
2023-03-13,lagos,maize,310.45
2023-03-14,lagos,maize,338.34
2023-03-15,lagos,maize,332.74
2023-03-16,lagos,maize,274.7
2023-03-17,lagos,maize,340.37
2023-03-18,lagos,maize,351.9
2023-03-19,lagos,maize,337.1
2023-03-20,lagos,maize,313.78
2023-03-21,lagos,maize,306.38
2023-03-22,lagos,maize,330.0
2023-03-23,lagos,maize,308.29
2023-03-24,lagos,maize,324.65
2023-03-25,lagos,maize,318.82
2023-03-26,lagos,maize,339.51
2023-03-27,lagos,maize,313.49
2023-03-28,lagos,maize,312.96
2023-03-29,lagos,maize,326.77
2023-03-30,lagos,maize,352.61
2023-03-31,lagos,maize,322.55
2023-04-01,lagos,maize,314.71
2023-04-02,lagos,maize,335.91
2023-04-03,lagos,maize,333.93
2023-04-04,lagos,maize,306.85
2023-04-05,lagos,maize,313.95
2023-04-06,lagos,maize,341.01
2023-04-07,lagos,maize,330.32
2023-04-08,lagos,maize,283.07
2023-04-09,lagos,maize,331.74
2023-04-10,lagos,maize,339.28
2023-04-11,lagos,maize,310.6
2023-04-12,lagos,maize,335.69
2023-04-13,lagos,maize,355.52
2023-04-14,lagos,maize,331.54
2023-04-15,lagos,maize,315.01
2023-04-16,lagos,maize,316.91
2023-04-17,lagos,maize,325.9
2023-04-18,lagos,maize,332.08
2023-04-19,lagos,maize,327.11
2023-04-20,lagos,maize,334.49
2023-04-21,lagos,maize,324.03
2023-04-22,lagos,maize,329.58
2023-04-23,lagos,maize,342.6
2023-04-24,lagos,maize,309.47
2023-04-25,lagos,maize,328.87
2023-04-26,lagos,maize,328.96
2023-04-27,lagos,maize,342.46
2023-04-28,lagos,maize,323.77
2023-04-29,lagos,maize,338.32
2023-04-30,lagos,maize,345.8
2023-05-01,lagos,maize,297.49
2023-05-02,lagos,maize,347.09
2023-05-03,lagos,maize,311.86
2023-05-04,lagos,maize,310.16
2023-05-05,lagos,maize,280.95
2023-05-06,lagos,maize,315.07
2023-05-07,lagos,maize,328.23
2023-05-08,lagos,maize,322.08
2023-05-09,lagos,maize,320.82
2023-05-10,lagos,maize,310.2
2023-05-11,lagos,maize,342.7
2023-05-12,lagos,maize,344.22
2023-05-13,lagos,maize,335.38
2023-05-14,lagos,maize,297.6
2023-05-15,lagos,maize,365.82
2023-05-16,lagos,maize,330.95
2023-05-17,lagos,maize,337.38
2023-05-18,lagos,maize,303.94
2023-05-19,lagos,maize,328.3
2023-05-20,lagos,maize,335.23
2023-05-21,lagos,maize,326.1
2023-05-22,lagos,maize,342.67
2023-05-23,lagos,maize,349.64
2023-05-24,lagos,maize,306.22
2023-05-25,lagos,maize,342.13
2023-05-26,lagos,maize,334.58
2023-05-27,lagos,maize,327.95
2023-05-28,lagos,maize,302.18
2023-05-29,lagos,maize,352.12
2023-05-30,lagos,maize,334.25
2023-05-31,lagos,maize,298.39
2023-06-01,lagos,maize,323.54
2023-06-02,lagos,maize,332.77
2023-06-03,lagos,maize,335.58
2023-06-04,lagos,maize,325.04
2023-06-05,lagos,maize,332.6
2023-06-06,lagos,maize,361.59
2023-06-07,lagos,maize,352.05
2023-06-08,lagos,maize,310.96
2023-06-09,lagos,maize,316.57
2023-06-10,lagos,maize,324.36
2023-06-11,lagos,maize,297.32
2023-06-12,lagos,maize,303.82
2023-06-13,lagos,maize,299.02
2023-06-14,lagos,maize,306.6
2023-06-15,lagos,maize,348.0
2023-06-16,lagos,maize,310.97
2023-06-17,lagos,maize,307.94
2023-06-18,lagos,maize,339.03
2023-06-19,lagos,maize,316.96
2023-06-20,lagos,maize,330.95
2023-06-21,lagos,maize,311.9
2023-06-22,lagos,maize,294.05
2023-06-23,lagos,maize,331.01
2023-06-24,lagos,maize,297.64
2023-06-25,lagos,maize,314.44
2023-06-26,lagos,maize,310.52
2023-06-27,lagos,maize,325.47
2023-06-28,lagos,maize,312.87
2023-06-29,lagos,maize,319.6
2023-06-30,lagos,maize,295.81
2023-07-01,lagos,maize,353.91
2023-07-02,lagos,maize,301.12
2023-07-03,lagos,maize,340.19
2023-07-04,lagos,maize,322.63
2023-07-05,lagos,maize,322.16
2023-07-06,lagos,maize,325.34
2023-07-07,lagos,maize,288.36
2023-07-08,lagos,maize,334.71
2023-07-09,lagos,maize,310.15
2023-07-10,lagos,maize,338.03
2023-07-11,lagos,maize,315.35
2023-07-12,lagos,maize,311.34
2023-07-13,lagos,maize,295.95
2023-07-14,lagos,maize,304.21
2023-07-15,lagos,maize,323.32
2023-07-16,lagos,maize,294.58
2023-07-17,lagos,maize,283.01
2023-07-18,lagos,maize,301.21
2023-07-19,lagos,maize,328.66
2023-07-20,lagos,maize,343.71
2023-07-21,lagos,maize,303.0
2023-07-22,lagos,maize,288.32
2023-07-23,lagos,maize,307.69
2023-07-24,lagos,maize,315.93
2023-07-25,lagos,maize,321.99
2023-07-26,lagos,maize,347.11
2023-07-27,lagos,maize,315.41
2023-07-28,lagos,maize,338.42
2023-07-29,lagos,maize,303.27
2023-07-30,lagos,maize,311.86
2023-07-31,lagos,maize,300.29
2023-08-01,lagos,maize,298.43
2023-08-02,lagos,maize,304.83
2023-08-03,lagos,maize,304.12
2023-08-04,lagos,maize,298.38
2023-08-05,lagos,maize,298.84
2023-08-06,lagos,maize,325.39
2023-08-07,lagos,maize,341.61
2023-08-08,lagos,maize,298.34
2023-08-09,lagos,maize,300.75
2023-08-10,lagos,maize,314.22
2023-08-11,lagos,maize,357.43
2023-08-12,lagos,maize,306.09
2023-08-13,lagos,maize,320.2
2023-08-14,lagos,maize,329.12
2023-08-15,lagos,maize,308.98
2023-08-16,lagos,maize,318.06
2023-08-17,lagos,maize,312.38
2023-08-18,lagos,maize,318.88
2023-08-19,lagos,maize,284.52
2023-08-20,lagos,maize,304.36
2023-08-21,lagos,maize,308.44
2023-08-22,lagos,maize,307.73
2023-08-23,lagos,maize,318.25
