farmer_id,location,crop,avg_yield_kg,reliability_score
1,northcentral,rice,1146,0.74
2,southwest,rice,520,0.66
3,northcentral,rice,1340,0.86
4,northcentral,maize,666,0.75
5,northcentral,maize,1797,0.67
6,southwest,rice,887,0.8
7,northcentral,rice,1100,0.61
8,northcentral,maize,815,0.89
9,northcentral,maize,513,0.76
10,southwest,maize,741,0.74
11,northcentral,tomato,1276,0.92
12,northcentral,tomato,1869,0.85
13,northcentral,tomato,1064,0.71
14,northcentral,rice,1397,0.8
15,southwest,tomato,1863,0.78
16,northcentral,rice,591,0.94
17,southwest,rice,1890,0.9
18,southwest,tomato,1455,0.86
19,southwest,rice,1978,0.79
20,northcentral,tomato,1951,0.81
21,southwest,tomato,1008,0.94
22,northcentral,maize,1275,0.81
23,southwest,tomato,2466,0.7
24,southwest,maize,534,0.7
25,southwest,tomato,705,0.66
