date,market,crop,quantity_sold,selling_price
2023-01-01,lagos,maize,4174,306.2961580120917
2023-01-02,lagos,maize,4005,316.7200943825987
2023-01-03,lagos,maize,4201,271.1276840515635
2023-01-04,lagos,maize,3480,301.2164834368454
2023-01-05,lagos,maize,3755,310.2359012331015
2023-01-06,lagos,maize,3156,314.2696498695941
2023-01-07,lagos,maize,4669,345.1915934577943
2023-01-08,lagos,maize,3824,333.0795931806322
2023-01-09,lagos,maize,5193,310.55282513903137
2023-01-10,lagos,maize,3807,301.3352781904363
2023-01-11,lagos,maize,3133,321.0045179427061
2023-01-12,lagos,maize,3805,339.88624224288674
2023-01-13,lagos,maize,3484,293.730299132676
2023-01-14,lagos,maize,5326,295.34566008333593
2023-01-15,lagos,maize,4620,328.2749722428468
2023-01-16,lagos,maize,5138,345.89909100455117
2023-01-17,lagos,maize,4266,290.97486056106504
2023-01-18,lagos,maize,5739,325.92341481225867
2023-01-19,lagos,maize,3772,277.08070107369065
2023-01-20,lagos,maize,3251,345.2715255651138
2023-01-21,lagos,maize,3719,313.3660452378717
2023-01-22,lagos,maize,4800,351.2745765848836
2023-01-23,lagos,maize,4138,294.2754535494941
2023-01-24,lagos,maize,3900,348.0391299966831
2023-01-25,lagos,maize,3623,303.642818782824
2023-01-26,lagos,maize,3222,337.7663689608756
2023-01-27,lagos,maize,4674,334.33991751694055
2023-01-28,lagos,maize,3374,329.11391252377007
2023-01-29,lagos,maize,2178,351.42122209722413
2023-01-30,lagos,maize,1976,351.7769222484825
2023-01-31,lagos,maize,4154,355.69742950434687
2023-02-01,lagos,maize,4303,292.1960900812708
2023-02-02,lagos,maize,4828,289.229845178613
2023-02-03,lagos,maize,3648,324.28717545596805
2023-02-04,lagos,maize,4496,327.3248875533554
2023-02-05,lagos,maize,4532,351.1155223031678
2023-02-06,lagos,maize,5787,363.54834249933856
2023-02-07,lagos,maize,3750,317.84730975017874
2023-02-08,lagos,maize,3961,300.8645036712977
2023-02-09,lagos,maize,4130,334.9998670443721
2023-02-10,lagos,maize,5168,350.33678532803197
2023-02-11,lagos,maize,5180,321.93624398396184
2023-02-12,lagos,maize,4328,317.5546350451588
2023-02-13,lagos,maize,3954,302.092755945532
2023-02-14,lagos,maize,3393,352.7552950518905
2023-02-15,lagos,maize,5291,342.41563675174496
2023-02-16,lagos,maize,4698,311.91351300832235
2023-02-17,lagos,maize,5152,341.0553452359485
2023-02-18,lagos,maize,4319,348.50008156460007
2023-02-19,lagos,maize,3295,356.14302418972966
2023-02-20,lagos,maize,4511,329.82063186445345
2023-02-21,lagos,maize,2946,342.915451357887
2023-02-22,lagos,maize,2820,361.20636559032187
2023-02-23,lagos,maize,4509,306.48552946313976
2023-02-24,lagos,maize,3421,384.46282383834665
2023-02-25,lagos,maize,4101,326.0913016280682
2023-02-26,lagos,maize,4582,333.53679987458673
2023-02-27,lagos,maize,4626,318.35312329011464
2023-02-28,lagos,maize,3529,338.4120257268615
2023-03-01,lagos,maize,5221,354.754122303525
2023-03-02,lagos,maize,5745,328.4222490383137
2023-03-03,lagos,maize,3417,369.42500840439186
2023-03-04,lagos,maize,5627,336.7148096222597
2023-03-05,lagos,maize,5170,360.12664277205346
2023-03-06,lagos,maize,3296,341.53202943832866
2023-03-07,lagos,maize,4556,353.2452581686588
2023-03-08,lagos,maize,2998,327.46546231111876
2023-03-09,lagos,maize,4256,365.80256497085986
2023-03-10,lagos,maize,4518,342.11128593756797
2023-03-11,lagos,maize,4716,337.93939169371305
2023-03-12,lagos,maize,2569,346.9484475127928
2023-03-13,lagos,maize,3912,338.73056753734585
2023-03-14,lagos,maize,3678,404.22634166062255
2023-03-15,lagos,maize,3075,362.66469907033445
2023-03-16,lagos,maize,3002,308.2253008194692
2023-03-17,lagos,maize,3041,400.45409703583493
2023-03-18,lagos,maize,5013,375.5659141963964
2023-03-19,lagos,maize,3676,399.20598280475105
2023-03-20,lagos,maize,3693,353.40276377437795
2023-03-21,lagos,maize,3661,342.3768141200522
2023-03-22,lagos,maize,3914,371.13645944311617
2023-03-23,lagos,maize,4041,339.0791331822314
2023-03-24,lagos,maize,3649,342.583737857292
2023-03-25,lagos,maize,4100,355.19345333357506
2023-03-26,lagos,maize,4450,357.33628278973435
2023-03-27,lagos,maize,4819,337.5568825222778
2023-03-28,lagos,maize,3673,356.15078106602493
2023-03-29,lagos,maize,2841,353.7184036536626
2023-03-30,lagos,maize,5036,390.5209683763141
2023-03-31,lagos,maize,2549,345.60439453014203
2023-04-01,lagos,maize,2367,371.2408079369448
2023-04-02,lagos,maize,3922,391.78652443167005
2023-04-03,lagos,maize,3680,368.0414507279866
2023-04-04,lagos,maize,3714,341.16386181916744
2023-04-05,lagos,maize,3849,370.5042161421686
2023-04-06,lagos,maize,4326,383.9078276028616
2023-04-07,lagos,maize,4276,381.935256591883
2023-04-08,lagos,maize,4527,319.25190071783015
2023-04-09,lagos,maize,3608,393.4777066219509
2023-04-10,lagos,maize,4543,388.6507968144904
2023-04-11,lagos,maize,4266,366.29123724101333
2023-04-12,lagos,maize,3966,391.34846006962096
2023-04-13,lagos,maize,4506,422.453709284823
2023-04-14,lagos,maize,5170,356.1824572240176
2023-04-15,lagos,maize,4154,333.4403025113095
2023-04-16,lagos,maize,3122,364.3191114591414
2023-04-17,lagos,maize,3622,362.2132046170564
2023-04-18,lagos,maize,3742,371.89388278852147
2023-04-19,lagos,maize,5180,386.35942304419507
2023-04-20,lagos,maize,3609,356.1088393354864
2023-04-21,lagos,maize,2628,358.44039191511246
2023-04-22,lagos,maize,4143,392.20556373784046
2023-04-23,lagos,maize,2969,370.49085148503514
2023-04-24,lagos,maize,2867,369.50803497396925
2023-04-25,lagos,maize,5825,367.66850857727417
2023-04-26,lagos,maize,2871,357.88803892383606
2023-04-27,lagos,maize,4657,366.9945527452303
2023-04-28,lagos,maize,5326,348.0157614289852
2023-04-29,lagos,maize,2972,368.7216759907519
2023-04-30,lagos,maize,4870,366.15842667551874
2023-05-01,lagos,maize,4346,348.9488244292333
2023-05-02,lagos,maize,4241,388.70786738059013
2023-05-03,lagos,maize,2717,335.53897185527137
2023-05-04,lagos,maize,4169,363.957306660645
2023-05-05,lagos,maize,4493,314.52461956986235
2023-05-06,lagos,maize,4530,371.6805690313942
2023-05-07,lagos,maize,3826,355.70422095555995
2023-05-08,lagos,maize,4431,360.6134755428493
2023-05-09,lagos,maize,4689,365.4806863015385
2023-05-10,lagos,maize,2532,349.67238607249453
2023-05-11,lagos,maize,4426,400.51500854080547
2023-05-12,lagos,maize,3444,368.92623775381765
2023-05-13,lagos,maize,3982,383.7862149966646
2023-05-14,lagos,maize,4605,341.1471855413933
2023-05-15,lagos,maize,3075,425.3619620075693
2023-05-16,lagos,maize,4012,376.378803320118
2023-05-17,lagos,maize,4287,389.8137403396341
2023-05-18,lagos,maize,3453,344.1430455639588
2023-05-19,lagos,maize,3798,347.22275768007694
2023-05-20,lagos,maize,3438,376.0071770086757
2023-05-21,lagos,maize,4661,342.8873426863839
2023-05-22,lagos,maize,3485,360.3264197508833
2023-05-23,lagos,maize,5034,407.846603124457
2023-05-24,lagos,maize,4396,357.339357227077
2023-05-25,lagos,maize,4681,359.8952166458798
2023-05-26,lagos,maize,3752,366.97681613239143
2023-05-27,lagos,maize,3217,360.8872961764138
2023-05-28,lagos,maize,3619,343.845369962872
2023-05-29,lagos,maize,2400,409.30398061767994
2023-05-30,lagos,maize,4179,386.8003126264255
2023-05-31,lagos,maize,3239,326.1784728104761
2023-06-01,lagos,maize,3056,345.97027596195585
2023-06-02,lagos,maize,3731,388.66421572845854
2023-06-03,lagos,maize,4096,398.3022889668021
2023-06-04,lagos,maize,5124,375.73375193964574
2023-06-05,lagos,maize,3951,388.9242447265343
2023-06-06,lagos,maize,3431,406.76483137228047
2023-06-07,lagos,maize,4514,420.36957218667663
2023-06-08,lagos,maize,4139,353.70899486811516
2023-06-09,lagos,maize,3953,354.3183489735683
2023-06-10,lagos,maize,4844,359.7578035661084
2023-06-11,lagos,maize,4421,313.65569030176266
2023-06-12,lagos,maize,3062,330.3241569190897
2023-06-13,lagos,maize,4375,354.776048982773
2023-06-14,lagos,maize,4023,329.2275849024701
2023-06-15,lagos,maize,3761,380.16030351833155
2023-06-16,lagos,maize,3183,363.47815814096003
2023-06-17,lagos,maize,3438,338.68207395525286
2023-06-18,lagos,maize,3505,401.8672757612498
2023-06-19,lagos,maize,2372,365.5264986346766
2023-06-20,lagos,maize,4775,363.5445113973594
2023-06-21,lagos,maize,4132,339.08700501518797
2023-06-22,lagos,maize,4480,333.6744435030028
2023-06-23,lagos,maize,5167,354.9735284892755
2023-06-24,lagos,maize,3556,321.7565310778097
2023-06-25,lagos,maize,3340,375.9811628448602
2023-06-26,lagos,maize,4027,350.15471806504814
2023-06-27,lagos,maize,3893,357.52478696217963
2023-06-28,lagos,maize,4262,375.3667688847747
2023-06-29,lagos,maize,4597,343.66536669011174
2023-06-30,lagos,maize,3541,348.8755016604637
2023-07-01,lagos,maize,2729,386.6603943032185
2023-07-02,lagos,maize,3939,345.4028585973688
2023-07-03,lagos,maize,4679,370.6918290367041
2023-07-04,lagos,maize,4199,366.87794500043645
2023-07-05,lagos,maize,3716,379.8816221618487
2023-07-06,lagos,maize,3212,369.63964117375235
2023-07-07,lagos,maize,4785,303.343486342414
2023-07-08,lagos,maize,3309,372.9813270325643
2023-07-09,lagos,maize,3958,330.7569153376184
2023-07-10,lagos,maize,4024,401.23576133445954
2023-07-11,lagos,maize,4484,332.1754782618382
2023-07-12,lagos,maize,2874,347.0738459405725
