farmer_id,date,crop,quantity_available
1,2023-01-01,rice,1348
1,2023-01-02,rice,1411
1,2023-01-03,rice,1010
1,2023-01-04,rice,1083
1,2023-01-05,rice,827
1,2023-01-06,rice,1552
1,2023-01-07,rice,992
1,2023-01-09,rice,739
1,2023-01-10,rice,1207
1,2023-01-12,rice,899
1,2023-01-13,rice,850
1,2023-01-14,rice,1022
1,2023-01-15,rice,1170
1,2023-01-16,rice,750
1,2023-01-17,rice,1542
1,2023-01-18,rice,1340
1,2023-01-19,rice,1041
1,2023-01-20,rice,887
1,2023-01-21,rice,1120
1,2023-01-22,rice,1403
1,2023-01-23,rice,1359
1,2023-01-24,rice,1449
1,2023-01-26,rice,1008
1,2023-01-27,rice,308
1,2023-01-28,rice,1503
1,2023-01-29,rice,1098
1,2023-01-30,rice,1336
1,2023-01-31,rice,1624
1,2023-02-01,rice,1843
1,2023-02-02,rice,959
1,2023-02-04,rice,1184
1,2023-02-06,rice,1537
1,2023-02-07,rice,904
1,2023-02-08,rice,979
1,2023-02-09,rice,977
1,2023-02-10,rice,1137
1,2023-02-11,rice,1082
1,2023-02-16,rice,975
1,2023-02-17,rice,869
1,2023-02-18,rice,1378
1,2023-02-19,rice,1529
1,2023-02-20,rice,1570
1,2023-02-21,rice,1008
1,2023-02-22,rice,1390
1,2023-02-24,rice,1213
1,2023-02-25,rice,982
1,2023-02-27,rice,1356
1,2023-02-28,rice,969
1,2023-03-01,rice,1038
1,2023-03-02,rice,751
1,2023-03-04,rice,1013
1,2023-03-05,rice,1218
1,2023-03-06,rice,1595
1,2023-03-08,rice,1044
1,2023-03-09,rice,848
1,2023-03-10,rice,1574
1,2023-03-11,rice,1001
1,2023-03-12,rice,645
1,2023-03-13,rice,1184
1,2023-03-14,rice,1052
1,2023-03-16,rice,1805
1,2023-03-17,rice,1282
1,2023-03-18,rice,1104
1,2023-03-19,rice,881
1,2023-03-20,rice,1240
1,2023-03-21,rice,1563
1,2023-03-22,rice,1235
1,2023-03-23,rice,903
1,2023-03-24,rice,1300
1,2023-03-25,rice,1132
1,2023-03-26,rice,1274
1,2023-03-27,rice,1044
1,2023-03-28,rice,1037
1,2023-03-29,rice,1026
1,2023-03-31,rice,1415
1,2023-04-01,rice,1040
1,2023-04-02,rice,1014
1,2023-04-03,rice,876
1,2023-04-05,rice,1276
1,2023-04-07,rice,1235
1,2023-04-08,rice,1017
1,2023-04-09,rice,942
1,2023-04-10,rice,1683
1,2023-04-11,rice,607
1,2023-04-12,rice,1287
1,2023-04-13,rice,1515
1,2023-04-15,rice,175
1,2023-04-16,rice,1373
1,2023-04-19,rice,1082
1,2023-04-20,rice,1219
1,2023-04-21,rice,1053
1,2023-04-22,rice,1454
1,2023-04-23,rice,1250
1,2023-04-24,rice,1183
1,2023-04-26,rice,888
1,2023-04-27,rice,1685
1,2023-04-28,rice,1148
1,2023-05-01,rice,1802
1,2023-05-02,rice,1698
1,2023-05-03,rice,636
1,2023-05-06,rice,958
1,2023-05-07,rice,848
1,2023-05-08,rice,1132
1,2023-05-09,rice,1199
1,2023-05-10,rice,1211
1,2023-05-11,rice,1448
1,2023-05-12,rice,1573
1,2023-05-14,rice,1423
1,2023-05-15,rice,985
1,2023-05-17,rice,921
1,2023-05-18,rice,1146
1,2023-05-19,rice,1268
1,2023-05-20,rice,1093
1,2023-05-22,rice,760
1,2023-05-23,rice,1341
1,2023-05-24,rice,1033
1,2023-05-25,rice,1024
1,2023-05-26,rice,1130
1,2023-05-27,rice,1077
1,2023-05-28,rice,1040
1,2023-05-29,rice,779
1,2023-05-30,rice,1113
1,2023-05-31,rice,1347
1,2023-06-01,rice,1221
1,2023-06-02,rice,1417
1,2023-06-04,rice,937
1,2023-06-07,rice,779
1,2023-06-08,rice,1075
1,2023-06-10,rice,970
1,2023-06-11,rice,999
1,2023-06-13,rice,1206
1,2023-06-16,rice,1001
1,2023-06-17,rice,787
1,2023-06-18,rice,985
1,2023-06-19,rice,1243
1,2023-06-20,rice,1338
1,2023-06-21,rice,1335
1,2023-06-22,rice,1267
1,2023-06-24,rice,1097
1,2023-06-26,rice,1262
1,2023-06-27,rice,1133
1,2023-06-30,rice,1178
1,2023-07-02,rice,876
1,2023-07-03,rice,1158
1,2023-07-04,rice,1254
1,2023-07-05,rice,1243
1,2023-07-08,rice,777
1,2023-07-11,rice,1173
1,2023-07-12,rice,732
1,2023-07-13,rice,1195
1,2023-07-14,rice,945
1,2023-07-15,rice,1634
1,2023-07-19,rice,1180
