farmer_id,reliability_score,weighted_value
17,0.90,7505445326.8680
19,0.79,6404247658.7400
12,0.85,5442834121.8160
20,0.81,5272206227.3700
3,0.86,4950769434.9408
23,0.70,4601739583.2800
15,0.78,4596014243.1840
14,0.80,4542762053.0560
11,0.92,4438703250.5776
18,0.86,4324262462.8288
21,0.94,3645592340.1464
1,0.74,3265188526.3352
6,0.80,2962391589.0240
22,0.81,2957693876.9496
5,0.67,2858199705.3784
16,0.94,2673075279.2264
8,0.89,2243000665.1672
13,0.71,2206635037.8016
7,0.61,2052620462.2384
10,0.74,1433659846.6880
4,0.75,1305456475.5300
25,0.66,1249133804.0544
2,0.66,1132484114.9424
9,0.76,1015384181.0112
24,0.70,902972250.6560
